Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,15.350000,16.920000,15.023000,16.730000,16.684818,2366000
2021-08-24,16.750000,17.346001,16.090000,16.959999,16.914196,1984900
2021-08-25,17.000000,17.590000,16.340000,16.530001,16.485359,1576300
2021-08-26,16.790001,17.219999,16.530001,16.969999,16.924170,964500
2021-08-27,16.930000,17.299999,16.809999,17.000000,16.954090,1061600
2021-08-30,17.209999,17.670000,16.719999,16.879999,16.834414,1159000
2021-08-31,16.920000,17.100000,16.549999,16.709999,16.664871,705800
2021-09-01,16.860001,17.020000,16.750000,16.850000,16.804495,474200
2021-09-02,16.990000,17.389999,16.610001,16.790001,16.744658,1235600
2021-09-03,16.850000,16.900000,15.730000,16.120001,16.076468,1474700
2021-09-07,16.110001,16.250000,14.930000,14.960000,14.919599,2465500
2021-09-08,14.970000,15.425000,14.800000,15.210000,15.168923,1961000
2021-09-09,15.350000,16.290001,15.300000,16.070000,16.026600,1200400
2021-09-10,16.250000,16.450001,15.660000,15.970000,15.926871,1109400
2021-09-13,16.010000,16.139999,15.273000,15.340000,15.298573,674600
2021-09-14,15.450000,15.750000,15.370000,15.560000,15.517979,562000
2021-09-15,15.560000,15.750000,15.050000,15.300000,15.258680,780200
2021-09-16,15.230000,16.680000,15.230000,16.379999,16.335762,1512700
2021-09-17,16.320000,16.500000,15.190000,15.210000,15.168923,5721100
2021-09-20,14.820000,15.770000,14.560000,14.980000,14.939544,2744000
2021-09-21,15.000000,15.190000,14.030000,14.270000,14.231462,2259700
2021-09-22,14.290000,14.460000,14.020000,14.160000,14.121759,1577800
2021-09-23,14.250000,14.800000,14.200000,14.730000,14.690219,1224500
2021-09-24,14.670000,14.730000,14.220000,14.510000,14.470814,520900
2021-09-27,14.510000,14.850000,14.250000,14.340000,14.301273,838800
2021-09-28,14.260000,14.370000,14.020000,14.210000,14.171624,747000
2021-09-29,14.280000,14.330000,13.960000,14.000000,13.962192,685800
2021-09-30,14.010000,14.080000,13.750000,14.000000,13.962192,848700
2021-10-01,14.060000,14.250000,13.820000,14.220000,14.181598,638600
2021-10-04,14.055000,14.220000,13.827000,13.930000,13.892381,560200
2021-10-05,13.950000,14.020000,13.800000,13.890000,13.852489,635700
2021-10-06,13.820000,13.890000,13.720000,13.800000,13.762732,819000
2021-10-07,13.890000,14.090000,13.680000,13.750000,13.712867,1045800
2021-10-08,13.750000,14.300000,13.590000,14.120000,14.081867,861400
2021-10-11,14.070000,14.090000,13.850000,13.970000,13.932273,488500
2021-10-12,13.980000,14.330000,13.970000,14.270000,14.231462,400600
2021-10-13,14.320000,14.335000,14.105000,14.310000,14.271355,211600
2021-10-14,14.380000,14.660000,14.130000,14.150000,14.111786,468300
2021-10-15,14.350000,14.360000,13.880000,13.910000,13.872434,446500
2021-10-18,13.900000,14.180000,13.710000,14.080000,14.041975,301700
2021-10-19,14.144000,14.144000,13.830000,13.890000,13.852489,510900
2021-10-20,13.900000,13.975000,13.800000,13.920000,13.882407,413800
2021-10-21,13.660000,13.850000,13.070000,13.130000,13.094541,1918700
2021-10-22,13.110000,13.110000,12.710000,12.940000,12.905053,1378400
2021-10-25,12.910000,13.230000,12.760000,12.960000,12.925000,694000
2021-10-26,13.000000,13.290000,12.900000,13.260000,13.260000,479300
2021-10-27,13.250000,13.360000,12.770000,12.770000,12.770000,523800
2021-10-28,12.929000,12.929000,12.630000,12.890000,12.890000,572400
2021-10-29,12.830000,12.871000,12.700000,12.750000,12.750000,413800
2021-11-01,12.820000,13.040000,12.760000,12.950000,12.950000,689900
2021-11-02,13.000000,14.240000,12.950000,14.150000,14.150000,2343800
2021-11-03,14.070000,14.150000,13.401000,13.860000,13.860000,1024000
2021-11-04,13.840000,14.070000,13.450000,13.860000,13.860000,525600
2021-11-05,13.950000,14.240000,13.870000,14.100000,14.100000,433500
2021-11-08,13.640000,14.180000,13.370000,13.550000,13.550000,1094100
2021-11-09,13.500000,13.620000,12.900000,12.980000,12.980000,1256400
2021-11-10,13.780000,14.850000,13.300000,13.370000,13.370000,2652100
2021-11-11,13.430000,14.450000,13.430000,14.300000,14.300000,1208700
2021-11-12,14.340000,14.730000,14.164000,14.450000,14.450000,905900
2021-11-15,14.690000,14.730000,14.180000,14.350000,14.350000,842600
2021-11-16,14.850000,15.170000,14.340000,14.540000,14.540000,2104200
2021-11-17,14.590000,15.080000,14.520000,14.980000,14.980000,916500
2021-11-18,14.800000,14.940000,13.640000,13.690000,13.690000,1342500
2021-11-19,13.900000,14.070000,13.700000,13.820000,13.820000,1089300
2021-11-22,14.000000,14.460000,13.820000,14.040000,14.040000,1119300
2021-11-23,14.020000,14.950000,14.000000,14.100000,14.100000,1278100
2021-11-24,13.980000,15.690000,13.980000,15.530000,15.530000,2186200
2021-11-26,14.760000,15.710000,14.730000,15.440000,15.440000,803500
2021-11-29,15.510000,16.080000,14.999000,15.210000,15.210000,1574600
2021-11-30,15.000000,15.159000,13.920000,14.550000,14.550000,2925600
2021-12-01,13.970000,14.700000,13.000000,13.190000,13.190000,3052500
2021-12-02,13.450000,14.340000,13.380000,14.170000,14.170000,1657200
